society,property_type,price,price_per_sqft,areaWithType,area,bedRoom,bathroom,balcony,additionalRoom,floorNum,facing,agePossession,nearbyLocations,furnishDetails,features,property_id,sector
indiabulls centrum park,flat,2.36,9182.0,Super Built up area 2875(267.1 sq.m.)Carpet area: 2570 sq.ft. (238.76 sq.m.),2570.0,4,6,3+,servant room,8.0,East,1 to 5 Year Old,"['Gurgaon Dreamz Mall', 'HUDA Market, Sector 14', 'Dwarka Expressway', 'Delhi Gurgaon Expressway', 'S N International School', 'The NorthCap University', 'Metro Hospital, Palam Vihar', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Emaar Business Park', 'Country Inn and Suites by Radisson', 'Sector 29 Gurgaon Pubs and Bars', 'HUDA Mini Golf Course', 'Infinitys Badminton Academy', 'F9 Go Karting Gurgaon']","['6 Fan', '1 Exhaust Fan', '18 Light', '6 AC', '1 Modular Kitchen', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",B69312092,sector 103
experion the heartsong,flat,2.29,8240.0,Built Up area: 2779 (258.18 sq.m.),2779.0,4,5,3+,servant room,8.0,South,1 to 5 Year Old,"['Galleria 108 Mall', 'Dwarka Expressway', 'Central Peripheral Road', 'The Shikshiyan School', 'Manipal Hospital', 'Indira Gandhi International Airport', 'Vivanta New Delhi, Dwarka', 'SkyJumper Trampoline Park', 'Fun N Food Village']","['1 Stove', '5 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",O60974924,sector 108
independent,house,4.25,17955.0,Built Up area: 2367 (219.9 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),2367.0,4,3,2,not available,1.0,North-East,undefined,"['Rajiv Chowk Mosque', 'Bhanu Dental Care', 'Sai Dental Clinic', 'Gautam Hospital', 'Nutan Dental Hospital', 'Yadav Hospital Gurgoan', 'Shri Ram Dental Clinic', 'Sunrise Hospital Gurgaon', 'Harshila Dental Clinic', 'Clove Dental', 'Parmar Dental Clinic & Lab', 'Dental Xpert Dental Clinic', 'Chandna Dental Surgery Orthodontic and Implant Centre', 'The Muskan Dental Clinic', 'Rachna Dental Clinic', 'Mangalam Hospital and Heart Centre Gurgaon', 'Ayushman Hospital And Trauma Centre', 'Ankur Clinic and Maternity Home', 'Vaishnavi Nursing Home', 'Navjeevan Hospital and Maternity Centre', 'Rajendra Hospital', 'Shiv Mahima Patient Care Bureau', 'Kathuria Hospital', 'Shri Gobind Hospital', 'Lal Superspeciality Hospital', 'Parashar Hospital', 'Kamla Hospital Gurgaon', 'Vinayak Hospital Gurgaon', 'Tirath Ram Hospitals Pvt Ltd', 'Sethi Hospital Gurgaon', 'Shubham Hospital Gurgaon', 'Nangia Hospital Ent and Maternity', 'Smile Plus Dental Clinic', 'Pasricha Hospital and Maternity Home', 'Satyam Hospital Gurgaon', 'Dev Man Kathuria Clinic', 'Rama Hospital & Nursing Home', 'Dr. Madan Clinic', 'Shri Multispeciality Hospital', 'Swastik Maternity and Medical Centre', 'Airforce Hospital', 'Thakral Nursing and Maternity Home', 'Taneja Hospital', 'Chiranjiv Hospital', 'My Care Clinic', 'Road and Traffic Authority', 'Gurgaon Election Commission', 'Boxer Fuel Point', 'IBP Petrol Station']",,,,sector 10
emaar imperial gardens,flat,1.7,8395.0,Super Built up area 2025(188.13 sq.m.)Built Up area: 1750 sq.ft. (162.58 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),2025.0,3,4,3+,"servant room,pooja room",8.0,North-East,1 to 5 Year Old,"['Satya The Hive Mall', 'Gurugram Road', 'Dwarka Expy', 'Gurugram Global Heights School', 'Sunrise University', 'The Signature Super Speciality Hospital', 'Indira Gandhi Intl Airport', 'Basai Dhankot Railway Station', 'Country Inn & Suites by Radisson', 'Nehru Stadium']","['5 Fan', '1 Exhaust Fan', '5 Light', '1 Chimney', '5 AC', '1 Modular Kitchen', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",M69505648,sector 102
rof ananda,flat,0.25,6578.0,Super Built up area 380(35.3 sq.m.),380.0,1,1,1,not available,4.0,,0 to 1 Year Old,"['Metro', 'Dwarka Expressway', 'Rajeev Chowk', 'NH8', 'KMP Expressway', 'IMT Manesar', 'ISBT', 'Hero Honda Chowk', 'IGI Airport', 'Railway Station', 'Proposed Diplomatic enclave', 'Flava', 'Spicy Salsa', ""Nihar's Cafe"", 'Cheeni singh restaurant']",[],,C68438890,sector 95
rof ananda,flat,0.32,5736.0,Carpet area: 549.16 (51.02 sq.m.),558.0,2,2,1,pooja room,10.0,North,1 to 5 Year Old,"['Metro', 'Dwarka Expressway', 'Rajeev Chowk', 'NH8', 'KMP Expressway', 'IMT Manesar', 'ISBT', 'Hero Honda Chowk', 'IGI Airport', 'Railway Station', 'Proposed Diplomatic enclave', 'Flava', 'Spicy Salsa', ""Nihar's Cafe"", 'Cheeni singh restaurant']","['1 Water Purifier', '5 Fan', '1 Dining Table', '5 Light', '1 Curtains', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'False Ceiling Lighting', 'Water Storage', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Water softening plant']",W69978828,sector 95
park view apartments,flat,1.6,11034.0,Carpet area: 1450 (134.71 sq.m.),1450.0,3,3,3+,pooja room,2.0,North-West,5 to 10 Year Old,"['Hanuman Mandir', 'Rajiv Chowk Mosque', 'Hdfc bank ATM', 'State bank of india ATM', 'Icici bank ATM', 'State bank of india ATM', 'Axis bank ATM', 'Dayal Eye & Maternity Centre', 'Ahmed Hospital Multi Speciality', 'Bansal Medicare and Maternity Centre', 'Pushpanjali Hospital', 'Pushpanjali Hospital Gurgaon', 'Aarvy Hospital', 'Shivam Hospital Gurgaon', 'Thakral Nursing and Maternity Home', 'Dr. Sandeep Chauhan', 'Dispencery', 'Ahooja Eye and Dental Institute Hospital', 'Kalyani Hospital Gurgaon', 'Medanta', 'Sharma Hospital Gurgaon', 'Rajiv Memorial Eye Infirmary Jacobpura', 'Saraswati Hospital Gurgaon', 'Smile Plus Dental Clinic', 'Rama Hospital & Nursing Home', 'Verma E.N.T. Hospital', 'Nova Care Clinic', 'Gurgaon Election Commission', 'Road and Traffic Authority', 'Gardian Pharmacy', 'IBP Petrol Pump', 'Indian Oil', 'IBP Petrol Station', 'Indian Oil', 'State bank of india sbi', 'Punjab national bank', 'Hdfc bank', 'Darbar', 'Om Sweets', 'Fast Food', 'Fast food', 'Bar and restaurant', '32nd Milestone', 'Cafe Coffee Day', 'KFC', 'CR Model Public School', 'Salvan Public School', 'govt sec school', 'District library gurgaon']","['6 Fan', '10 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Park', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Natural Light']",S69153060,sector 15
independent,house,1.9,8444.0,Plot area 250(209.03 sq.m.)Carpet area: 190 sq.yards (158.86 sq.m.),2250.0,4,3,2,"store room,pooja room",2.0,North-East,5 to 10 Year Old,"['Chintapurni Mandir', 'State bank ATM', 'Shree Krishna Hospital Gurgaon', 'Dr. Hitesh Dawar', 'Prateek Nursing Home And Polyclinic', 'Kr Dental Hub', 'Esic Hospital Gurugram', 'Bhardwaj Hospital', 'Sneh Hospital Gurgaon', 'Dr. Ashok Jain', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Sarvodya Hospital', 'R K Hospital Gurgaon', 'Pearl Dental Clinic', 'Taneja Hospital', 'Gurgaon Eye Centre', 'Dr. Sindhu Clinic', 'Jiya Clinic', 'Dr. Mittal Clinic', 'Chirag Hospital Pvt. Ltd', 'Yashroop Medical Centre', ""Dr. Anurag's Child Care Clinic"", 'Aryan Hospital', 'Shri Multispeciality Hospital', 'Geeta Nursing Home Gurgaon', 'D.R. Rajnis Gupta Clinic', 'Dr. Madan Clinic', 'Chiranjiv Hospital', 'Ravi Clinic and Health Care Centre', 'Sparsh Hospital Gurgaon', 'Dev Man Kathuria Clinic', 'Swastik Maternity and Medical Centre', 'Bhatnagar Maternity and Nursing Home', 'Satyam Hospital Gurgaon', 'Ankur Clinic and Maternity Home', 'Bindal Clinic', 'Shiv Mahima Patient Care Bureau', 'Dr. Agya Ram Sharma Clinic', 'M.S Hospital', 'Indian bank', 'Kotak bank', 'Hdfc bank', 'State bank of india', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station', 'Basai dhankot railway station']","['3 Wardrobe', '1 Water Purifier', '4 Fan', '1 Exhaust Fan', '4 Light', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Water Storage', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society']",,sector 105
emaar mgf emerald floors premier,flat,2.3,13939.0,Carpet area: 1650 (153.29 sq.m.),1650.0,3,4,3,"pooja room,study room,servant room,store room",3.0,South-West,1 to 5 Year Old,"['WorldMark Gurgaon', 'Sohna Road', 'Golf Course Road', 'CK Birla Hospital', 'Delhi International Airport', 'Lemon Tree Hotel']","['1 Water Purifier', '1 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '1 Geyser', '1 Stove', '1 Light', '1 AC', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '1 Bed', '1 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",E69099512,sector 65
conscient heritage max,flat,2.15,10004.0,Super Built up area 2149(199.65 sq.m.),2149.0,3,4,3+,"study room,servant room",18.0,South,1 to 5 Year Old,"['Huda Metro Station', 'Ocus Medley Mall', 'The Esplanade Mall', 'Gurugram Road', 'Dwarka Expy', 'Prime Scholars International School', 'DPG Degree College', 'The Signature Advanced Super Speciality', 'Indira Gandhi Intl Airport', 'Basai Dhankot Railway Station', 'Altrade Business Centre', 'Holiday Inn Gurugram Sector 90', 'SkyJumper Trampoline Park Gurgaon', 'Hamoni Golf Camp', 'Nehru Stadium']","['1 Stove', '6 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Centrally Air Conditioned', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",E59899010,sector 102
independent,house,0.85,7522.0,Built Up area: 1130 (104.98 sq.m.),1130.0,3,3,0,not available,1.0,,undefined,"['Chintapurni Mandir', 'Sheetla Mata Mandir', 'State bank ATM', 'Sneh Hospital Gurgaon', 'Bhardwaj Hospital', 'Dr. Hitesh Dawar', 'Jiya Clinic', 'R K Hospital Gurgaon', 'Dr. Mittal Clinic', 'Prateek Nursing Home And Polyclinic', 'Chirag Hospital Pvt. Ltd', 'Jain Sant Phool Chand Ji Charitable Hospital', ""Dr. Anurag's Child Care Clinic"", 'Sarvodya Hospital', 'Dr. Sindhu Clinic', 'Yashroop Medical Centre', 'Kr Dental Hub', 'Shree Krishna Hospital Gurgaon', 'Gurgaon Eye Centre', 'Dr. Ashok Jain', 'Pearl Dental Clinic', 'Aryan Hospital', 'D.R. Rajnis Gupta Clinic', 'GH Gurgaon', 'Esic Hospital Gurugram', 'Sparsh Hospital Gurgaon', 'Dr. Agya Ram Sharma Clinic', 'Taneja Hospital', 'Geeta Nursing Home Gurgaon', 'Bhatnagar Maternity and Nursing Home', 'Ravi Clinic and Health Care Centre', 'Dr. Sarvejeet Singh', 'Centre For Sight Gurgaon New Railway Road', 'Chiranjiv Hospital', 'Kidney Clinic', 'Kalyan Hospital Gurgaon', 'Jackson Hospital', 'Bindal Clinic', 'Indian bank', 'Kotak bank', 'Hdfc bank', 'State bank of india', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Dronacharya Government College', 'Lieutenant Atul Kataria School', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station']","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,sector 4
godrej summit,flat,0.82,9854.0,Carpet area: 77.31,832.0,2,2,3,study room,12.0,,1 to 5 Year Old,"['MG Road Metro Station', 'The Esplanade Mall', 'Dhanwapur Road', 'Dwarka Expy', 'Blue Bells Model School', 'The NorthCap University', 'Aryan Hospital', 'Indira Gandhi Intl Airport', 'Gurgaon Railway Station', 'Oswal buildings, Udyog Vihar', 'Altrade Business Centre', 'Country Inn & Suites by Radisson', 'Appu Ghar', 'Hamoni Golf Camp', 'Nehru Stadium']",,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",Z68982730,sector 104
independent,house,4.25,23148.0,Plot area 204(170.57 sq.m.),1836.0,5,4,2,store room,3.0,North-East,5 to 10 Year Old,"['Axis bank ATM', 'State bank of india ATM', 'Standard chartered ATM', 'Icici bank ATM', 'Sukhmani Hospital Pvt. Ltd', 'Dispencery', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Meher Clinic', 'Medanta', 'Park Hospital Gurgaon', 'Vishesh Dental', 'Bones Clinic - Orthopaedics', 'Neelkanth Health Care', 'Best Urologist Atcomplete Family Clinic', 'Samvit Health Care', 'Wellness Eye Centre', 'Dr. Aruna Kalra', 'Dr. Naresh Pandita', 'Dr. Anuj Sharma', 'Wembley estate club', 'Pernod Ricard Charitable Dispensary', 'Gardian Pharmacy', 'Apollo Pharmacy', 'Gardian Pharmacy', 'Genius', 'India Oil', 'Hdfc bank', 'Hdfc bank', 'SRS Cinemas', 'Raj Restaurant', 'Haldiram', 'KFC', 'Om Sweets', 'Fast food', 'Fast Food', 'Bar and restaurant', 'Madison and Pike', 'Manav Rachna School', 'Amity Global School', 'Delhi Public School Primary Section', 'St. Angels Sr', 'Gurugram University', 'St. Angels Jr', 'CR Model Public School', 'Kamla International', 'School of Inspired Leadership SOIL', 'Manav Rachna Swimming Pool']","['4 Wardrobe', '10 Fan', '1 Exhaust Fan', '50 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'High Ceiling Height', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Park', 'Natural Light', 'Airy Rooms', 'Rain Water Harvesting']",,sector 46
m3m skycity,flat,3.0,16411.0,Super Built up area 1828(169.83 sq.m.),1828.0,3,3,3,not available,17.0,East,By 2024,"['Sector 55 Metro Station', 'Eros City Square', 'DPS International Edge', 'Narayana Junior College', 'CK Birla Hospital', 'Indira Gandhi Intl Airport', 'Splendor Trade Tower', 'DoubleTree by Hilton Hotel', 'SkyJumper Trampoline Park']",,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']",J69477404,sector 65
conscient heritage max,flat,1.82,9371.0,Super Built up area 1942(180.42 sq.m.),1942.0,3,4,3+,servant room,15.0,East,5 to 10 Year Old,"['Huda Metro Station', 'Ocus Medley Mall', 'The Esplanade Mall', 'Gurugram Road', 'Dwarka Expy', 'Prime Scholars International School', 'DPG Degree College', 'The Signature Advanced Super Speciality', 'Indira Gandhi Intl Airport', 'Basai Dhankot Railway Station', 'Altrade Business Centre', 'Holiday Inn Gurugram Sector 90', 'SkyJumper Trampoline Park Gurgaon', 'Hamoni Golf Camp', 'Nehru Stadium']","['5 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",N70043450,sector 102
vipul lavanya,flat,1.28,7174.0,Carpet area: 1784 (165.74 sq.m.),1784.0,3,3,3,"pooja room,servant room",1.0,North-East,5 to 10 Year Old,"['Yadav Clinic', 'Bangali Clinic', 'Dr. J. S. Sarkar Clinic', 'Orris Community Center', 'HP Petrol Pump', 'Vijay Petrol Pump', 'Petrol Pump', 'Essar Petrol Pump', 'Petrol pump Maitri motors', 'Petrol Pump Indian Oil', 'Indian Oil', ""McDonald's"", 'KFC', 'Pizza Hut', 'Rao Dhaba', ""McDonald's""]","['1 Bed', '3 Wardrobe', '7 Fan', '1 Exhaust Fan', '2 Geyser', '12 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",H69882504,sector 81
sobha city,flat,3.25,15685.0,Super Built up area 2072(192.5 sq.m.),2072.0,3,3,3,not available,12.0,North,1 to 5 Year Old,"['Dwarka Sector 21', 'Dwarka Expressway', 'Vasant Kunj', 'The Shikshiyan School', 'The NorthCap University', 'Rions Hospital', 'IGI Airport', 'Gurgaon', 'WTC Plaza', 'Luxus Haritma Resort', 'Fun N Food WaterPark', 'BSF Golf Course', 'Nehru Stadium']",[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",Y69513598,sector 108
m3m woodshire,flat,0.9,6590.0,Super Built up area 1366(126.91 sq.m.),1366.0,2,2,3+,others,10.0,,1 to 5 Year Old,"['Signum 107', 'Nora Solomon Medicenter', 'Indira Gandhi International Airport', 'The Shikshiyan School', 'Najafgarh Jheel Bird Sanctuary', 'Skylark Cricket Academy']","['1 Water Purifier', '5 Fan', '1 Exhaust Fan', '3 Geyser', '1 Stove', '12 Light', '4 AC', '1 Chimney', '1 Modular Kitchen', '1 TV', '2 Wardrobe', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Washing Machine']",,Q49874872,sector 107
independent,house,1.65,75000.0,Built Up area: 220 (20.44 sq.m.),220.0,9,9,0,not available,1.0,,0 to 1 Year Old,,"['1 Wardrobe', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,,sector 5
antriksh green,flat,2.25,7826.0,Carpet area: 2875 (267.1 sq.m.),2875.0,4,4,2,servant room,9.0,North,10+ Year Old,"['Huda city centre metro station', 'Standard chartered ATM', 'Hdfc bank ATM', 'Axis bank ATM', 'State bank of india ATM', 'Icici ATM', 'Citi bank ATM', 'Axis bank ATM', 'Hdfc ATM', 'Hdfc ATM', 'Icici bank ATM', 'Axis bank ATM', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Dr. Naval Mendiratta', 'Dispencery', 'Gupta', 'Arihant Hospital', 'Shivam Hospital Gurgaon', 'Dr. Kutbuddin Akbary', 'Centre For Sight Gurgaon Sector 29', 'Max Hospital', 'Paras Hospital Gurgaon', 'Pernod Ricard Charitable Dispensary', 'City Medical', 'Gardian Pharmacy', 'Gardian Pharmacy', 'Bharat petroleum', 'Hdfc bank', 'Hdfc bank', 'Icici bank', 'Raj Restaurant', 'PWO house', 'Fast food', 'Fast Food', 'Bar and restaurant', 'Om Sweets', 'Balaji Vegetarian Paradise', 'Cafe Coffee Day', 'The Chicken Boat', 'St. Angels Jr', 'School of Inspired Leadership SOIL', 'St. Angels Sr', 'Manav Rachna School', 'Stones2milestones', 'Amity Global School', 'CR Model Public School', 'Manav Rachna Swimming Pool', 'Ncr library']","['1 Water Purifier', '8 Fan', '1 Fridge', '1 Dining Table', '4 Geyser', '16 Light', '2 AC', '1 Modular Kitchen', '1 Curtains', '4 Bed', '4 Wardrobe', '1 Sofa', '1 Washing Machine', 'No Chimney', 'No Exhaust Fan', 'No Microwave', 'No Stove', 'No TV']","['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Park']",N69587870,sector 45
tulip violet,flat,1.38,8972.0,Carpet area: 1538 (142.88 sq.m.),1538.0,3,3,1,not available,12.0,West,1 to 5 Year Old,"['Airia Mall Sector 68', 'Southern Peripheral Road', 'Golf Course Extension Rd', 'Imperio School', 'DPG Institute of Technology', 'Ektaa Hospitals', 'Indira Gandhi International Airport', 'Vipul Trade Business Centre', 'Radisson Hotel Gurugram', 'SkyJumper Trampoline Park']","['1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",N68450700,sector 69
